
abaft,kolhufas,ކޮޅުފަސް
obedient,kiyamantheri,ކިޔަމަންތެރި
ocean,kan'du,ކަނޑު
octopus,boava,ބޯވަ
official,rasmee,ރަސްމީ
oil,theyo,ތެޔޮ
olive,zaithooni,ޒައިތޫނި
omelette,bisgan'du,ބިސްގަނޑު
onion,fiyaa,ފިޔާ
opportunity,furusathu,ފުރުސަތު 
owl,bakamoonu,ބަކަމޫނު
oyster,ithaa,އިތާ
page,sofuhaa,ސޮފުހާ
palace,gan'duvaru,ގަނޑުވަރު
papaya,falhoa,ފަޅޯ
paper,karudhaas,ކަރުދާސް
parents,mainbafain,މައިންބަފައިން
parrot,guraa,ގުރާ
pavement,dhuvaaru,ދުވާރު
peacock,saamaraadhooni,ސާމަރާދޫނި
peanut,badhan,ބަދަން
pearl,ithaamuiy,މުތް
pen,galan,ގަލަން
pencil,fansuru,ފަންސުރު
pharmacy,beysfihaara,ބޭސްފިހާރަ
philosophy,falsafaa,ފަލްސަފާ
pig,ooru,އޫރު
pigeon,kotharu,ކޮތަރު
pillow,baalees,ބާލީސް
pineapple,alanaasi,އަލަނާސި
pocket,jeebu,ޖީބު
poison,viha,ވިހަ
political,siyaasee,ސިޔާސީ
pomegranate,annaaru,އަންނާރު
poor,fageeru,ފަގީރު
popular,maguboolu,މަގުބޫލު
population,aabaadhee,އާބާދީ
potato,aluvi,އަލުވި
prize,inaamu,އިނާމު
proverb,harubas,ހަރުބަސް
pulse,vindhu,ވިންދު
pumpkin,baraboa,ބަރަބޯ
queen,raanee,ރާނީ
question,suvaalu,ސުވާލު
quick,avas,އަވަސް
quiet,adumadu,އަޑުމަޑު
rabbit,musalhu,މުސަޅު
rain,vaarey,ވާރޭ
rainy,vissaara,ވިއްސާރަ
ramadan,roadhamas,ރޯދަމަސް
read,kiyun,ކިޔުން 
ready,thayyaaru,ތައްޔާރު
reason,sababu,ސަބަބު
reef,faru,ފަރު
rent,kuli,ކުލި
repent,thaubaa,ތައުބާ
religion,dheen,ދީން
republic,jumhooriyyaa,ޖުމްހޫރިއްޔާ
responsibility,zinmaa,ޒިންމާ
result,natheejaa,ނަތީޖާ
rich,muhsandhi,މުއްސަނދި
rice,baiy,ބަތް
rich,mussan'dhi,މުއްސަނދި
river,koaru,ކޯރު
roof,furaalhu,ފުރާޅު
root,moo,މޫ
rural,rahfushu,ރަށްފުށު
run,dhuvun,ދުވުން
rust,dhabaru,ދަބަރު
safe,rahkaa,ރައްކާ
sail,riyaa,ރިޔާ
salad,satani,ސަޓަނި
salary,musaara,މުސާރަ
saliva,kulhu,ކުޅު
salt,lonu,ލޮނު
sanctity,karaamaaiy,ކަރާމާތް
sand,veli,ވެލި
sandbank,finolhu,ފިނޮޅު
scar,lakunu,ލަކުނު
scissor,kathuru,ކަތުރު
sea,moodhu,މޫދު
secret,sihru,ސިއްރު
seed,oh,އޮށް
sell,vihkun,ވިއްކުން
ship,odi,އޮޑި
shop,fihaara,ފިހާރަ
shadow,hiyani,ހިޔަނި
shark,miyaru,މިޔަރު
shoulder,kon'du,ކޮނޑު
sister,dhahtha,ދައްތަ
silver,rihi,ރިހި
silk,fashui,ފަށުއި
sit,isheendhe,އިށީންދެ
sky,udu,އުޑު
slant,kathi,ކަތި
sleep,nidhun,ނިދުން
smile,hinithunvun,ހިނިތުންވުން
sneeze,kin'bihi,ކިނބިހި
society,mujuthamau,މުޖުތަމައު
social,ijuthimaaee,އިޖުތިމާއީ
soap,saiboani,ސައިބޯނި
sock,istaakeenu,އިސްޓާކީނު
song,lava,ލަވަ
special,haassa,ހާއްސަ
spicy,kulhi,ކުޅި 
spoon,samusaa,ސަމުސާ
sports,kulhivaru,ކުޅިވަރު
spy,jaasoosu,ޖާސޫސު
star,thari,ތަރި
study,kiyevun,ކިޔެވުން
sugar,hakuru,ހަކުރު
sun,iru,އިރު
sunlight,avi,އަވި
thunder,guguri,ގުގުރި
throw,ukun,އުކުން
tobacco,dhunfaiy,ދުންފަތް
tooth,dhaiy,ދަތް
today,miadhu,މިއަދު
tourist,fathuruveriyaa,ފަތުރުވެރިޔާ
twins,ehmaaban'du,އެއްމާބަނޑު
tomorrow,maadhan,މާދަން
tornado,nagooroalhi,ނަގޫރޯޅި
tourism,fathuruverikan,ފަތުރުވެރިކަން
tourist,fathuruveriyaa,ފަތުރުވެރިޔާ
travel,dhathurukurun,ދަތުރުކުރުން
tree,gas,ގަސް
vacation,chuhtee,ޗުއްޓީ
walk,hin'gun,ހިނގުން
war,han'guraama,ހަނގުރާމަ
waste,beykaaru,ބޭކާރު
water,fen,ފެން
weather,moosun, މޫސުން
wedding,kaiveni,ކައިވެނި
week,hafthaa,ހަފްތާ
wet,thaiy,ތަތް
wife,an'bi,އަނބި
write,liyun,ލިޔުން
wrinkle,roo,ރޫ
wood,lakun'di,ލަކުނޑި
young,zuvaan,ޒުވާން
yesterday,iyye,އިއްޔެ 
zero,sumeh,ސުމެއް
one,ekeh,އެކެއް
two,dheyh,ދޭއް
three,thineh,ތިނެއް
four,hathareh,ހަތަރެއް
five,faheh,ފަހެއް
six,haeh,ހައެއް 
seven,hatheh,ހަތެއް 
eight,asheh,އަށެއް 
nine,nuvaeh,ނުވައެއް 
ten,dhihaeh,ދިހައެއް
eleven,egaara,އެގާރަ 
twelve,baara,ބާރަ 
thirteen,theyra,ތޭރަ
fourteen,saadha,ސާދަ
fifteen,fanara,ފަނަރަ
sixteen,soalha,ސޯޅަ
seventeen,sathaara,ސަތާރަ
eighteen,ashaara,އަށާރަ
nineteen,navaara,ނަވާރަ
twenty,vihi,ވިހި
thirty,thirees,ތިރީސް
forty,saalhees,ސާޅީސް
fifty,fansaas,ފަންސާސް
sixty,fasdholhas,ފަސްދޮޅަސް
seventy,haiydhiha,ހަތްދިހަ
eighty,ahdiha,އައްޑިހަ
ninety,nuvadhiha,ނުވަދިހަ
hundred,satheyka,ސަތޭކަ
thousand,haas,ހާސް 
first,ehvana,އެއްވަނަ
second,dhevana,ދެވަނަ
third,thinvana,ތިންވަނަ
fourth,hatharuvana,ހަތަރުވަނަ
fifth,fasvana,ފަސްވަނަ
sixth,havana,ހަވަނަ
seventh,haiyvana,ހަތްވަނަ
eighth,ahvana,އަށްވަނަ
ninth,nuvavana,ނުވަވަނަ
tenth,dhihavana,ދިހަވަނަ
eleventh,egaaravana,އެގާރަވަނަ
twelfth,baaravana,ބާރަވަނަ
thirteenth,theyravana,ތޭރަވަނަ
fourteenth,saadhavana,ސާދަވަނަ
fifteenth,fanaravana,ފަނަރަވަނަ
sixteenth,soalhavana,ސޯޅަވަނަ
seventeenth,sathaaravana,ސަތާރަވަނަ
eighteenth,ashaaravana,އަށާރަވަނަ
nineteenth,navaaravana,ނަވާރަވަނަ
double,dheguna,ދެގުނަ
triple,thinguna,ތިންގުނަ
quadruple,hatharuguna,ހަތަރުގުނަ
sunday,aadhihtha,އާދިއްތަ
monday,hoama,ހޯމަ
tuesday,angaara,އަންގާރަ
wednesday,budha,ބުދަ
thursday,buraasfathi,ބުރާސްފަތި
friday,hukuru,ހުކުރު
saturday,honihiru,ހޮނިހިރު
north,uthuru,އުތުރު
South,dhekunu,ދެކުނު
east,irumathi,އިރުމަތި
west,hulhan'gu,ހުޅަނގު
north-east,honimma,ހޮނިންމަ
red,raiy,ރަތް
blue,noo,ނޫ
green,fehi,ފެހި
yellow,reen'dhoo,ރީނދޫ
black,kalhu,ކަޅު
white,hudhu,ހުދު
pink,fiyaathoshi,ފިޔާތޮށި
purple,dhan'bu,ދަނބު
brown,mushi,މުށި
gray,alhi,އަޅި
who,kaaku,ކާކު
why,keehve,ކީއްވެ
when,koniraku,ކޮންއިރަކު
how,kihineh,ކިހިނެއް
what,kon,ކޮން 
where,konthaaku,ކޮންތާކު
many,baivaru,ބައިވަރު
some,baeh,ބައެއް
every,hurihaa,ހުރިހާ
more,gina,ގިނަ
near,kairi,ކައިރި
far,dhuru,ދުރު
behind,fahaiy,ފަހަތް
album,albamu,އަލްބަމު
ambulance,embiulaans,އެމްބިއުލާންސް
apartment,epaatumentu,އެޕާޓްމެންޓު
avalanche,evelaanch,އެވެލާންޗު
average,evereju,އެވަރެޖު
badge,beju,ބެޖު
band,beyndu,ބޭންޑު
bank,beynku,ބޭންކު
battery,beteree,ބެޓެރީ
bicycle,baisikalu,ބައިސިކަލު
bill,bilu,ބިލު
bomb,bon,ބޮން
butter,bataru,ބަޓަރު
cake,keyku,ކޭކު
car,kaaru,ކާރު
carrot,keretu,ކެރެޓު
cement,simenthi,ސިމެންތި
cheese,cheezu,ޗީޒު
chemical,kemikal,ކެމިކަލް
cigarette,sigireytu,ސިގިރޭޓު
column,kolam,ކޮލަމް
committe,komitee,ކޮމިޓީ
control,konturoalu,ކޮންޓުރޯލު
course,koas,ކޯސް
court,koatu,ކޯޓު
desk,desku,ޑެސްކު
director,dairectaru,ޑައިރެކްޓަރު
doctor,doktaru,ޑޮކްޓަރު
dollar,dolaru,ޑޮލަރު
engine,ingeenu,އިންޖީނު
engineer,inginiaru,އިންޖިނިއަރު
fashion,feshan,ފެށަން
feminist,feministu,ފެމިނިސްޓު
film,filmu,ފިލްމު
franchise,furenchaiz,ފުރެންޗައިޒް
furniture,faruneecharu,ފަރުނީޗަރު
general,jeneral,ޖެނެރަލް
gas,geys,ގޭސް
hotel,hotelu,ހޮޓަލު
hospital,hospitalu,ހޮސްޕިޓަލު
icecream,aiskureemu,އައިސްކުރީމު
inch,inchi,އިންޗި
jacket,jeketu,ޖެކެޓު
jam,jeymu,ޖޭމު
jeans,jeensu,ޖީންސު
jug,jagu,ޖަގު
juice,joos,ޖޫސް
list,listu,ލިސްޓު
loan,loanu,ލޯނު
market,maarukeytu,މާރުކޭޓު
member,membaru,މެންބަރު
message,meseju,މެސެޖު
minute,minetu,މިނެޓު
model,modelu,މޮޑެލު
music,miuziku,މިއުޒިކު
newspaper,noospeyparu,ނޫސްޕޭޕަރު
nurse,narus,ނަރުސް
office,ofees,އޮފީސް
orange,orenju,އޮރެންޖު
operation,opareyshan,އޮޕަރޭޝަން
parcel,paarusal,ޕާރުސަލް
park,paaku,ޕާކު
party,paatee,ޕާޓީ
photo,fotoa,ފޮޓޯ
piano,piaanoa,ޕިއާނޯ
program,purograamu,ޕުރޮގްރާމު
quarentine,karanteenu,ކަރަންޓީނު
radio,reydioa,ރޭޑިޔޯ
ranbutan,ranbusthaan,ރަންބުސްތާން
razor,reyzaru,ރޭޒަރު
report,ripoatu,ރިޕޯޓު
ribbon,riban,ރިބަން
sandwich,seynduwich,ސޭންޑުވިޗް
satellite,setelaitu,ސެޓެލައިޓު
science,sainsu,ސައިންސު
signal,sigunalu,ސިގްނަލް
size,saizu,ސައިޒު
snow,sunoa,ސުނޯ
tshirt,teeshaatu,ޓީށާޓު
tax,teks,ޓެކްސް
taxi,teksee,ޓެކްސީ
ticket,tiketu,ޓިކެޓު
tower,tawaru,ޓަވަރު
typhoon,thoofaanu,ތޫފާނު
vote,voatu,ވޯޓު
yatch,yotu,ޔޮޓު
zip,zibu,ޒިބު
